"station_code","fullstationname","datetimestamp","monitoringprogram","rep","WTEM_N","F_WTEM_N","SALT_N","F_SALT_N","DO_N_","F_DO_N_","DO_N","F_DO_N","PH_N","F_PH_N","SECCHI","F_SECCHI","TDEP_N","F_TDEP_N"
"gtmpcnut","gtmpcnut2.2","2025-06-23 12:00:00","2","2","31.19",NA,"19.86",NA,NA,NA,"2.95",NA,"7.45",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-06-23 14:30:00","2","3","31.76",NA,"17",NA,NA,NA,"2.82",NA,"7.4",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-06-23 17:00:00","2","4","32.340000000000003",NA,"13.21",NA,NA,NA,"3.5",NA,"7.35",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-06-23 19:30:00","2","5","34.380000000000003",NA,"11.67",NA,NA,NA,"6.77",NA,"7.78",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-06-23 22:00:00","2","6","33.57",NA,"23.21",NA,NA,NA,"5.69",NA,"7.84",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-06-24 00:30:00","2","7","33.270000000000003",NA,"24.25",NA,NA,NA,"5.52",NA,"7.85",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-06-24 03:00:00","2","8","32.369999999999997",NA,"15.36",NA,NA,NA,"4.3099999999999996",NA,"7.51",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-06-24 05:30:00","2","9","32.020000000000003",NA,"13.45",NA,NA,NA,"3.83",NA,"7.4",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-06-24 08:00:00","2","10","31",NA,"12.26",NA,NA,NA,"4.07",NA,"7.38",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-06-24 10:30:00","2","11","31.42",NA,"18.97",NA,NA,NA,"4.3099999999999996",NA,"7.52",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-07-09 10:30:00","1","1","29.01",NA,"33.520000000000003",NA,"5.21",NA,NA,NA,"7.56",NA,"1.1000000000000001",NA,"14.1",NA
"gtmpinut","gtmpinut1.2","2025-07-09 10:32:00","1","2","29.01",NA,"33.520000000000003",NA,"5.21",NA,NA,NA,"7.56",NA,"1.1000000000000001",NA,"14.1",NA
"gtmssnut","gtmssnut1.1","2025-07-09 09:08:00","1","1","25.81",NA,"36.36",NA,"5.91",NA,NA,NA,"7.88",NA,"1",NA,"26.8",NA
"gtmssnut","gtmssnut1.2","2025-07-09 09:10:00","1","2","25.81",NA,"36.36",NA,"5.91",NA,NA,NA,"7.88",NA,"1",NA,"26.8",NA
"gtmfmnut","gtmfmnut1.1","2025-07-09 13:05:00","1","1","27.7",NA,"35.26",NA,"5.05",NA,NA,NA,"7.76",NA,"1",NA,"9.6999999999999993",NA
"gtmfmnut","gtmfmnut1.2","2025-07-09 13:06:00","1","2","27.7",NA,"35.26",NA,"5.05",NA,NA,NA,"7.76",NA,"1",NA,"9.6999999999999993",NA
"gtmpcnut","gtmpcnut1.1","2025-07-09 12:39:00","1","1","29.9",NA,"16.45",NA,"3.46",NA,NA,NA,"7.28",NA,"0.7",NA,"2",NA
"gtmpcnut","gtmpcnut1.2","2025-07-09 12:40:00","1","2","29.9",NA,"16.45",NA,"3.46",NA,NA,NA,"7.28",NA,"0.7",NA,"2",NA
"gtmpcnut","gtmpcnut2.1","2025-07-22 09:30:00","2","1","NA","<-2> [STF] (CSM)","11","<0> (CSM)",NA,NA,"3.6","<-3> [STF]","7.3","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-07-22 12:00:00","2","2","NA","<-2> [STF] (CSM)","8","<0> (CSM)",NA,NA,"3.1","<-3> [STF]","7.2","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-07-22 14:30:00","2","3","NA","<-2> [STF] (CSM)","5","<0> (CSM)",NA,NA,"3.7","<-3> [STF]","7.1","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-07-22 17:00:00","2","4","NA","<-2> [STF] (CSM)","4","<0> (CSM)",NA,NA,"2.9","<-3> [STF]","7","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-07-22 19:30:00","2","5","NA","<-2> [STF] (CSM)","5","<0> (CSM)",NA,NA,"4.8","<-3> [STF]","7.2","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-07-22 22:00:00","2","6","NA","<-2> [STF] (CSM)","15","<0> (CSM)",NA,NA,"6","<-3> [STF]","7.6","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-07-23 00:30:00","2","7","NA","<-2> [STF] (CSM)","15","<0> (CSM)",NA,NA,"5.7","<-3> [STF]","7.6","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-07-23 03:00:00","2","8","NA","<-2> [STF] (CSM)","7","<0> (CSM)",NA,NA,"3.4","<-3> [STF]","7.1","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-07-23 05:30:00","2","9","NA","<-2> [STF] (CSM)","4","<0> (CSM)",NA,NA,"2.4","<-3> [STF]","7","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-07-23 08:00:00","2","10","NA","<-2> [STF] (CSM)","5","<0> (CSM)",NA,NA,"3","<-3> [STF]","7","<-3> [STF]",NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-07-23 10:30:00","2","11","NA","<-2> [STF] (CSM)","14","<0> (CSM)",NA,NA,"3","<-3> [STF]","7.2","<-3> [STF]",NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-08-06 10:42:00","1","1","30.61",NA,"26.56",NA,"3.77",NA,NA,NA,"7.31",NA,"1",NA,"13.8",NA
"gtmpinut","gtmpinut1.2","2025-08-06 10:45:00","1","2","30.61",NA,"26.56",NA,"3.77",NA,NA,NA,"7.31",NA,"1",NA,"13.8",NA
"gtmssnut","gtmssnut1.1","2025-08-06 09:23:00","1","1","28.67",NA,"34.65",NA,"4.62",NA,NA,NA,"7.75",NA,"0.8",NA,"26.4",NA
"gtmssnut","gtmssnut1.2","2025-08-06 09:25:00","1","2","28.67",NA,"34.65",NA,"4.62",NA,NA,NA,"7.75",NA,"0.8",NA,"26.4",NA
"gtmfmnut","gtmfmnut1.1","2025-08-06 08:16:00","1","1","28.62",NA,"34.89",NA,"5.31",NA,NA,NA,"7.89",NA,"1.1000000000000001",NA,"11.1",NA
"gtmfmnut","gtmfmnut1.2","2025-08-06 08:19:00","1","2","28.62",NA,"34.89",NA,"5.31",NA,NA,NA,"7.89",NA,"1.1000000000000001",NA,"11.1",NA
"gtmpcnut","gtmpcnut1.1","2025-08-06 11:14:00","1","1","29.9",NA,"13.93",NA,"3.28",NA,NA,NA,"6.99",NA,"0.5",NA,"2.2000000000000002",NA
"gtmpcnut","gtmpcnut1.2","2025-08-06 11:16:00","1","2","29.9",NA,"13.93",NA,"3.28",NA,NA,NA,"6.99",NA,"0.5",NA,"2.2000000000000002",NA
"gtmpcnut","gtmpcnut2.1","2025-08-19 09:30:00","2","1","31.341000000000001",NA,"22.23",NA,NA,NA,"2.75",NA,"7.32",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-08-19 12:00:00","2","2","31.792999999999999",NA,"12.08",NA,NA,NA,"3.25",NA,"7.12",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-08-19 14:30:00","2","3","31.917999999999999",NA,"8.6",NA,NA,NA,"3.41",NA,"7.03",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-08-19 17:00:00","2","4","33.965000000000003",NA,"9.64",NA,NA,NA,"5.1100000000000003",NA,"7.18",NA,NA,NA,NA,NA
