"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-02,"08:45","19.86","46.949","30.58","85.4","6.5","0.456","7.89","6.43","0.86","3.45","30.68","10.29"
2025-12-02,"09:00","19.872","47.169","30.74","85.2","6.47","0.457","7.89","6.19","0.81","3.26","29.82","10"
2025-12-02,"09:15","19.894","47.209","30.77","84.7","6.43","0.452","7.89","5.78","0.96","3.85","29.46","9.88"
2025-12-02,"09:30","19.885","47.47","30.96","80.7","6.12","0.438","7.87","5.29","0.66","2.64","27.93","9.37"
2025-12-02,"09:45","19.883","47.369","30.88","82.7","6.28","0.421","7.87","5.41","0.76","3.06","28.92","9.7"
2025-12-02,"10:00","19.882","47.209","30.77","83.7","6.36","0.401","7.88","5.76","0.75","3.01","29.35","9.84"
2025-12-02,"10:15","19.867","46.998","30.61","84","6.39","0.382","7.88","5.58","0.76","3.03","30.45","10.21"
2025-12-02,"10:30","19.863","46.579","30.31","84.4","6.43","0.365","7.87","6.64","0.76","3.05","32.11","10.77"
2025-12-02,"10:45","19.907","45.062","29.21","85.5","6.56","0.348","7.85","7.74","1.04","4.18","37.52","12.58"
2025-12-02,"11:00","19.98","43.604","28.16","86.3","6.65","0.327","7.82","6.58","1.11","4.47","42.39","14.2"
2025-12-02,"11:15","20.013","43.117","27.81","86","6.64","0.303","7.8","6.93","1.15","4.61","44.3","14.84"
2025-12-02,"11:30","20.023","42.161","27.13","86.3","6.68","0.28","7.78","7.4","1.2","4.83","47","15.75"
2025-12-02,"11:45","20.066","41.134","26.4","86.3","6.71","0.252","7.74","7.51","1.28","5.13","50.16","16.8"
2025-12-02,"12:00","20.106","40.303","25.81","86.1","6.71","0.233","7.72","8.26","1.4","5.61","52.48","17.58"
2025-12-02,"12:15","20.242","39.012","24.89","86.2","6.73","0.205","7.68","8.57","1.44","5.79","56.04","18.77"
2025-12-02,"12:30","20.263","37.87","24.08","86.1","6.76","0.177","7.65","7.73","1.53","6.16","58.84","19.7"
2025-12-02,"12:45","20.241","36.999","23.47","85.9","6.77","0.149","7.63","8.02","1.56","6.27","60.87","20.38"
2025-12-02,"13:00","20.383","35.782","22.62","86.1","6.8","0.122","7.6","7.78","1.61","6.48","63.43","21.24"
2025-12-02,"13:15","20.482","34.549","21.76","86.3","6.84","0.091","7.58","7.18","1.73","6.94","66.34","22.21"
2025-12-02,"13:30","20.535","33.444","21","86.9","6.91","0.06","7.56","7.12","1.84","7.4","68.09","22.8"
2025-12-02,"13:45","20.579","32.442","20.3","87.5","6.98","0.032","7.56","7.25","1.9","7.63","69.7","23.33"
2025-12-02,"14:00","20.661","31.488","19.65","88","7.04","0.005","7.54","6.59","2.01","8.08","71.58","23.96"
2025-12-02,"14:15","20.684","30.747","19.14","88","7.06","-0.021","7.53","6.8","2.13","8.55","72.33","24.21"
2025-12-02,"14:30","20.638","29.891","18.55","88.1","7.09","-0.046","7.53","6.47","2.23","8.98","74.19","24.84"
2025-12-02,"14:45","20.554","30.048","18.66","87.1","7.02","-0.068","7.52","6.06","2.03","8.15","73.83","24.72"
2025-12-02,"15:00","20.598","29.306","18.16","87.1","7.03","-0.086","7.51","6","2.1","8.43","74.92","25.08"
2025-12-02,"15:15","20.623","28.707","17.75","86.9","7.03","-0.11","7.5","5.85","2.07","8.32","76.19","25.5"
2025-12-02,"15:30","20.658","28.065","17.31","87","7.06","-0.125","7.48","5.86","2.04","8.21","77.37","25.9"
2025-12-02,"15:45","20.7","27.37","16.84","87.2","7.09","-0.139","7.47","6.17","2.15","8.66","78.07","26.13"
2025-12-02,"16:00","20.649","27.578","16.99","86.4","7.02","-0.153","7.47","5.85","2.08","8.38","78.04","26.12"
2025-12-02,"16:15","20.652","27.597","17","83.2","6.76","-0.159","7.46","5.47","1.79","7.18","76.01","25.44"
2025-12-02,"16:30","20.668","27.011","16.6","80.8","6.58","-0.16","7.44","5.73","1.93","7.77","76.2","25.51"
2025-12-02,"16:45","20.696","26.282","16.11","80.7","6.58","-0.149","7.43","4.22","1.78","7.16","77.97","26.1"
2025-12-02,"17:00","20.778","25.424","15.54","86.6","7.08","-0.132","7.44","5.45","2.04","8.21","80.76","27.03"
2025-12-02,"17:15","20.812","26.455","16.23","87.8","7.15","-0.108","7.47","5.78","2.07","8.32","79.55","26.63"
2025-12-02,"17:30","21.088","29.286","18.14","90","7.2","-0.081","7.51","6.42","2.33","9.38","75.09","25.14"
2025-12-02,"17:45","21.069","31.411","19.59","89.6","7.11","-0.056","7.54","7.41","2.2","8.85","71.59","23.97"
2025-12-02,"18:00","21.05","32.247","20.16","90.4","7.15","-0.022","7.56","6.59","2.17","8.7","70.23","23.51"
2025-12-02,"18:15","21.006","31.752","19.82","90.1","7.16","0.012","7.56","6.06","2.22","8.94","71.13","23.81"
2025-12-02,"18:30","20.994","32.61","20.42","89.5","7.08","0.05","7.57","6.62","2.13","8.57","69.79","23.36"
2025-12-02,"18:45","20.975","32.93","20.64","89","7.04","0.085","7.57","6.02","1.9","7.64","69.58","23.29"
2025-12-02,"19:00","20.991","33.176","20.81","88.8","7.01","0.119","7.57","5.75","1.86","7.49","69.07","23.12"
2025-12-02,"19:15","20.996","33.78","21.22","89.2","7.02","0.15","7.58","7.01","1.87","7.5","67.99","22.76"
2025-12-02,"19:30","21.078","36.041","22.8","88.8","6.91","0.176","7.6","6.94","1.69","6.77","63.47","21.25"
2025-12-02,"19:45","21.205","38.138","24.26","88.5","6.82","0.2","7.61","7.86","1.69","6.79","59.96","20.08"
2025-12-02,"20:00","21.277","38.897","24.8","88.2","6.77","0.218","7.62","6.65","1.72","6.9","58.51","19.59"
2025-12-02,"20:15","21.316","39.564","25.27","87.6","6.7","0.23","7.62","6.43","1.64","6.58","57.44","19.23"
2025-12-02,"20:30","21.283","39.156","24.98","87.4","6.7","0.234","7.62","6.24","1.67","6.72","58.28","19.52"
2025-12-02,"20:45","21.29","39.255","25.05","86.7","6.64","0.231","7.62","6.4","1.81","7.29","57.88","19.38"
2025-12-02,"21:00","21.338","39.922","25.52","83.6","6.38","0.221","7.59","5.42","1.48","5.95","56.33","18.86"
2025-12-02,"21:15","21.367","40.316","25.8","82.8","6.3","0.204","7.59","5.65","1.37","5.52","55.57","18.61"
2025-12-02,"21:30","21.333","39.889","25.5","85.3","6.51","0.187","7.61","6.02","1.65","6.61","56.62","18.96"
2025-12-02,"21:45","21.27","38.968","24.85","86.8","6.66","0.171","7.61","6.02","1.66","6.67","58.65","19.64"
2025-12-02,"22:00","21.223","38.261","24.35","86.9","6.69","0.15","7.61","6.61","1.69","6.78","60.04","20.1"
2025-12-02,"22:15","21.13","36.396","23.04","86.7","6.74","0.13","7.59","6.67","1.67","6.71","63.93","21.41"
2025-12-02,"22:30","21.062","35.553","22.45","86.3","6.74","0.112","7.58","6.03","1.74","6.97","65.21","21.83"
2025-12-02,"22:45","21.029","34.956","22.04","85.9","6.73","0.092","7.57","6.43","1.8","7.23","66.15","22.15"
2025-12-02,"23:00","21.003","33.833","21.26","85","6.69","0.069","7.56","5.89","1.86","7.48","67.64","22.64"
2025-12-02,"23:15","20.959","33.087","20.74","85.6","6.76","0.048","7.55","6.18","1.74","7.01","69.78","23.36"
